Fecha y Hora;Temperatura (°C);Humedad (% HR);Radiación Solar (lux);Corriente Bomba (A);Puerto / Antena
2026-09-01 11:52:25;33,50;65,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:27;33,50;65,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:29;33,40;65,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:31;33,50;65,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:33;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:35;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:37;33,50;65,5;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 11:52:39;33,50;65,5;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 11:52:41;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:43;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:46;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:48;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:50;33,50;65,5;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 11:52:52;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:54;33,50;65,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:56;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:52:58;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:00;33,50;65,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:02;33,50;65,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:04;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:06;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:08;33,50;65,4;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 11:53:10;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:12;33,50;65,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:14;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:16;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:18;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:20;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:22;33,50;65,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:24;33,50;65,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:26;33,50;65,5;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:28;33,50;65,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 11:53:30;33,50;65,4;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:10;33,10;66,0;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:00:12;33,10;65,9;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:14;33,10;66,0;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:16;33,10;66,0;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:18;33,10;66,0;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:20;33,10;66,0;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:22;33,10;66,0;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:00:24;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
