timestamp,temperatura_c,humedad_rh,radiacion_uv_lux,corriente_motor_a,puerto_antena
2026-09-01 11:51:05,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:07,33.5,65.0,0.0,0.1,COM6
2026-09-01 11:51:09,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:11,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:13,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:15,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:18,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:20,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:22,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:24,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:26,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:28,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:30,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:32,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:34,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:36,33.5,65.0,0.0,0.0,COM6
2026-09-01 11:51:38,33.5,65.1,0.0,0.0,COM6
2026-09-01 11:51:40,33.5,65.1,0.0,0.0,COM6
2026-09-01 11:51:42,33.5,65.1,0.0,0.0,COM6
2026-09-01 11:51:44,33.5,65.1,0.0,0.0,COM6
2026-09-01 11:51:46,33.5,65.1,0.0,0.0,COM6
2026-09-01 11:51:48,33.5,65.1,0.0,0.0,COM6
2026-09-01 11:51:50,33.5,65.2,0.0,0.0,COM6
2026-09-01 11:51:52,33.5,65.2,0.0,0.0,COM6
2026-09-01 11:51:54,33.5,65.2,0.0,0.0,COM6
2026-09-01 11:51:56,33.5,65.2,0.0,0.0,COM6
2026-09-01 11:51:59,33.4,65.2,0.0,0.1,COM6
2026-09-01 11:52:01,33.5,65.2,0.0,0.0,COM6
2026-09-01 11:52:03,33.5,65.2,0.0,0.0,COM6
2026-09-01 11:52:05,33.5,65.3,0.0,0.0,COM6
2026-09-01 11:52:07,33.5,65.2,0.0,0.0,COM6
2026-09-01 11:52:09,33.5,65.3,0.0,0.0,COM6
2026-09-01 11:52:11,33.4,65.3,0.0,0.0,COM6
2026-09-01 11:52:13,33.5,65.3,0.0,0.0,COM6
2026-09-01 11:52:15,33.5,65.3,0.0,0.0,COM6
2026-09-01 11:52:17,33.5,65.4,0.0,0.1,COM6
2026-09-01 11:52:19,33.5,65.4,0.0,0.0,COM6
2026-09-01 11:52:21,33.5,65.4,0.0,0.0,COM6
2026-09-01 11:52:23,33.5,65.4,0.0,0.0,COM6
2026-09-01 11:52:25,33.5,65.4,0.0,0.0,COM6
2026-09-01 11:52:27,33.5,65.4,0.0,0.0,COM6
